,year,selling_price,km_driven,fuel,seller_type,transmission,owner,seats,company_name,model_name,mileage (kmpl),engine (cc),max_power (bhp)
0,2014,450000,145500,1,0,0,1,5.0,maruti,swift dzire vdi,23.4,1248.0,74.0
1,2014,370000,120000,1,0,0,2,5.0,skoda,rapid 1.5 tdi ambition,21.14,1498.0,103.52
2,2006,158000,140000,0,0,0,3,5.0,honda,city 2017-2020 exi,17.7,1497.0,78.0
3,2010,225000,127000,1,0,0,1,5.0,hyundai,i20 sportz diesel,23.0,1396.0,90.0
4,2007,130000,120000,0,0,0,1,5.0,maruti,swift vxi bsiii,16.1,1298.0,88.2
5,2017,440000,45000,0,0,0,1,5.0,hyundai,xcent 1.2 vtvt e plus,20.14,1197.0,81.86
6,2007,96000,175000,3,0,0,1,5.0,maruti,wagon r lxi duo bsiii,17.3,1061.0,57.5
7,2001,45000,5000,0,0,0,2,4.0,maruti,800 dx bsii,16.1,796.0,37.0
8,2011,350000,90000,1,0,0,1,5.0,toyota,etios vxd,23.59,1364.0,67.1
9,2013,200000,169000,1,0,0,1,5.0,ford,figo diesel celebration edition,20.0,1399.0,68.1
10,2014,500000,68000,1,0,0,2,5.0,renault,duster 110ps diesel rxl,19.01,1461.0,108.45
11,2005,92000,100000,0,0,0,2,5.0,maruti,zen lx,17.3,993.0,60.0
12,2009,280000,140000,1,0,0,2,5.0,maruti,swift dzire vdi,19.3,1248.0,73.9
13,2009,180000,90000,0,0,0,2,5.0,maruti,wagon r lxi minor,18.9,1061.0,67.0
14,2016,400000,40000,0,0,0,1,5.0,mahindra,kuv 100 mfalcon g80 k8 5str,18.15,1198.0,82.0
15,2016,778000,70000,1,0,0,2,7.0,maruti,ertiga shvs vdi,24.52,1248.0,88.5
16,2012,500000,53000,1,0,0,2,5.0,hyundai,i20 1.4 crdi asta,23.0,1396.0,90.0
17,2002,150000,80000,0,0,0,2,5.0,maruti,alto lx,19.7,796.0,46.3
18,2016,680000,100000,1,0,0,1,5.0,hyundai,i20 2015-2017 asta 1.4 crdi,22.54,1396.0,88.73
19,2011,174000,100000,1,0,0,2,5.0,mahindra,verito 1.5 d4 bsiii,21.0,1461.0,64.1
20,2017,950000,50000,1,0,0,1,5.0,honda,wr-v i-dtec vx,25.5,1498.0,98.6
21,2015,525000,40000,1,0,0,1,5.0,maruti,swift dzire zdi,26.59,1248.0,74.0
22,2012,600000,72000,1,0,0,1,5.0,maruti,sx4 zdi,21.5,1248.0,88.8
23,2018,500000,35000,0,0,0,1,5.0,tata,tigor 2017-2020 xz,20.3,1199.0,83.81
24,2016,575000,45000,0,0,0,1,5.0,maruti,baleno delta 1.2,21.4,1197.0,83.1
25,2017,275000,28000,0,0,0,1,5.0,maruti,alto 800 lxi,24.7,796.0,47.3
26,2013,300000,70000,1,0,0,1,7.0,chevrolet,enjoy tcdi ltz 7 seater,18.2,1248.0,73.8
27,2009,220000,120000,0,0,0,1,5.0,maruti,wagon r lxi minor,18.9,1061.0,67.0
28,2018,254999,25000,0,0,0,1,8.0,maruti,omni e mpi std bs iv,16.8,796.0,34.2
29,2017,670000,70000,1,0,0,1,5.0,maruti,vitara brezza ldi option,24.3,1248.0,88.5
30,2012,150000,35000,0,0,0,2,5.0,maruti,omni 8 seater bsiv,14.0,796.0,35.0
31,2018,730000,2388,0,0,0,1,5.0,hyundai,i20 1.2 asta dual tone,18.6,1197.0,81.83
32,2017,650000,16200,1,0,0,1,5.0,maruti,vitara brezza ldi,24.3,1248.0,88.5
